tile,cluster,zone,area_m2,n_pts,n_ground,n_class1,n_reclaim,ground_per_m2,class1_per_m2,reclaim_per_m2,med_inten_ground,med_inten_reclaim,med_absang_ground,med_absang_reclaim,planar_ground,planar_ground_n,planar_reclaim,planar_reclaim_n
621594,9,floor,34.25,95,85,10,9,2.4817518248175183,0.291970802919708,0.26277372262773724,25744.0,30976.0,0.234,0.126,0.10186824764019775,85,0.1985087122769187,9
621594,9,ring,323.25,1054,881,173,16,2.725444702242846,0.5351894818252126,0.04949729311678268,22080.0,17856.0,0.21,0.264,0.04644674431034446,881,0.16637249035915147,16
621594,9,far,4211.5,12764,11159,1605,31,2.6496497684910363,0.3810993707705093,0.007360797815505165,22320.0,23776.0,0.528,0.876,0.013146446284650892,1500,0.06266137556644935,31
621594,10,floor,25.0,70,61,9,6,2.44,0.36,0.24,24048.0,28456.0,2.838,2.874,0.09442735921152234,61,0.1495766133658094,6
621594,10,ring,298.25,882,785,97,7,2.632020117351215,0.32523051131601005,0.02347024308466052,29520.0,18160.0,2.88,2.91,0.034606509754326,785,0.18406742162676437,7
621594,10,far,4128.25,11691,10698,993,43,2.5914128262580998,0.2405377581299582,0.010416035850541997,22112.0,18896.0,2.868,3.282,0.01703511330677543,1500,0.15575185225122823,43
621594,11,floor,44.25,42,16,26,6,0.3615819209039548,0.5875706214689266,0.13559322033898305,3632.0,3528.0,2.88,2.856,0.016510431808285375,16,0.09938635433192644,6
621594,11,ring,341.25,1269,862,407,6,2.526007326007326,1.1926739926739927,0.017582417582417582,26288.0,12192.0,2.85,2.91,0.023716081093368757,862,0.181982960497578,6
621594,11,far,4271.5,15886,11687,4199,82,2.7360412033243593,0.9830270396816106,0.019197003394592065,21632.0,15640.0,2.868,2.325,0.02168018516769621,1500,0.19345762059487015,82
621594,12,floor,46.5,122,119,3,0,2.5591397849462365,0.06451612903225806,0.0,24064.0,,2.664,,0.0526932965198057,119,,0
621594,12,ring,340.25,1071,852,219,3,2.5040411462160175,0.6436443791329904,0.00881704628949302,33120.0,31184.0,2.664,2.766,0.03187524535741204,852,0.21520027426817023,3
621594,12,far,4267.75,13185,10964,2221,62,2.5690352059047505,0.5204147384453166,0.014527561361373089,21632.0,19296.0,2.61,2.7,0.0178228034285155,1500,0.22278145396364835,62
621594,13,floor,27.75,94,71,23,4,2.5585585585585586,0.8288288288288288,0.14414414414414414,26048.0,20656.0,0.12,0.081,0.10241692740351027,71,0.1866400387088447,4
621594,13,ring,305.25,1158,859,299,8,2.814086814086814,0.9795249795249795,0.02620802620802621,27104.0,15776.0,0.14400000000000002,0.051000000000000004,0.03254133861582886,859,0.21401578948780298,8
621594,13,far,4152.5,12900,11633,1264,99,2.801444912703191,0.30439494280553886,0.02384105960264901,22592.0,19536.0,0.546,0.41400000000000003,0.02666784010651213,1500,0.24004470911978615,99
621594,14,floor,42.25,156,141,15,0,3.337278106508876,0.35502958579881655,0.0,23088.0,,0.084,,0.028351114817496637,141,,0
621594,14,ring,334.75,1306,1083,223,25,3.2352501867064976,0.666168782673637,0.07468259895444361,29312.0,20544.0,0.138,0.07200000000000001,0.04922374465957091,1083,0.16698473601644537,25
621594,14,far,4256.25,13581,11698,1883,85,2.7484287812041117,0.44240822320117473,0.01997063142437592,22816.0,16592.0,0.582,0.456,0.01918069140626244,1500,0.19274911063968148,85
621594,15,floor,30.0,21,21,0,0,0.7,0.0,0.0,7392.0,,3.0660000000000003,,0.028456649911504428,21,,0
621594,15,ring,309.75,779,665,114,7,2.146892655367232,0.36803874092009686,0.022598870056497175,26880.0,15872.0,3.09,3.12,0.02412931683778652,665,0.16151332159853382,7
621594,15,far,4164.25,11932,9910,2022,41,2.379780272558084,0.4855616257429309,0.009845710512097016,21552.0,18192.0,2.988,3.696,0.022089276117725376,1500,0.07775756344130969,41
621594,16,floor,34.5,154,96,58,4,2.782608695652174,1.681159420289855,0.11594202898550725,26528.0,16256.0,2.4210000000000003,2.58,0.09111002440346283,96,0.3186726941663949,4
621594,16,ring,319.25,1313,950,363,13,2.9757243539545812,1.1370399373531714,0.04072043852779953,21824.0,16880.0,2.448,2.334,0.040985328682694444,950,0.20388088020297346,13
