tile,cluster,zone,area_m2,n_pts,n_ground,n_class1,n_reclaim,ground_per_m2,class1_per_m2,reclaim_per_m2,med_inten_ground,med_inten_reclaim,med_absang_ground,med_absang_reclaim,planar_ground,planar_ground_n,planar_reclaim,planar_reclaim_n
621594,43,floor,70.0,138,114,24,0,1.6285714285714286,0.34285714285714286,0.0,22184.0,,11.898,,0.10915734461323723,114,,0
621594,43,ring,369.0,666,598,68,0,1.6205962059620596,0.1842818428184282,0.0,18920.0,,11.907,,0.020022177557763143,598,,0
621594,43,far,4369.75,8427,8142,284,9,1.8632644888151495,0.06499227644602094,0.0020596143944161564,19376.0,16672.0,11.952,11.808,0.015545157165774981,1500,0.11600547269728168,9
621594,44,floor,109.0,1007,580,427,1,5.321100917431193,3.9174311926605503,0.009174311926605505,17696.0,15104.0,16.134,15.894,0.08487040952795155,580,0.19118446240878484,1
621594,44,ring,813.75,8563,3688,4875,8,4.5321044546851,5.990783410138249,0.009831029185867896,18144.0,16336.0,16.014,15.963000000000001,0.038366724730508395,1500,0.14944624744887847,8
621594,44,far,6730.75,45251,24023,21228,38,3.569141626118932,3.1538832968094193,0.0056457304163726185,16112.0,13760.0,16.41,15.447000000000001,0.02157710820009129,1500,0.13853599370540337,38
621594,45,floor,23.25,47,39,8,3,1.6774193548387097,0.34408602150537637,0.12903225806451613,27632.0,15840.0,8.922,8.88,0.08397239572741455,39,0.25697708772503347,3
621594,45,ring,300.5,647,617,30,1,2.05324459234609,0.09983361064891846,0.0033277870216306157,17376.0,11200.0,8.976,8.832,0.04448051790382124,617,0.17609767378371544,1
621594,45,far,4134.0,10262,9757,504,6,2.3601838413159166,0.12191582002902758,0.001451378809869376,20208.0,20336.0,8.988,9.75,0.015792391371206804,1500,0.15617884290830375,6
621594,46,floor,25.25,69,64,5,0,2.5346534653465347,0.19801980198019803,0.0,13544.0,,12.045,,0.0958311210245597,64,,0
621594,46,ring,303.5,842,740,102,0,2.4382207578253707,0.33607907742998355,0.0,15784.0,,12.072000000000001,,0.030158860414530864,740,,0
621594,46,far,4148.0,10368,10111,257,4,2.437560270009643,0.061957569913211184,0.0009643201542912247,16896.0,20904.0,12.084,11.967,0.018893797833840154,1500,0.1293555755568434,4
