OBJECTID,Well_ident,State,County,Well_name,Well_numbe,Type,Status,Latitude,Longitude,Prime_meri,Township,T_dir,Range,R_dir,Section,Qtr,Qtr_qtr,Qtr_qtr_qt,Source,Data_file_date,Well_info,Location_n,Other_note,x,y
101287,API:37121321340000,Pennsylvania,Venango,EICHE DEAN 188Q,,,Orphan,41.498620000000003,-79.539730000000006,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.539730000439107,41.498620000113000
101288,API:37121321350000,Pennsylvania,Venango,EICHE DEAN 189Q,,,Orphan,41.499305999999997,-79.538876999999999,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.538876999773706,41.499306000271801
101289,API:37121321360000,Pennsylvania,Venango,EICHE DEAN 190Q,,,Orphan,41.500787000000003,-79.539970999999994,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.539970999861694,41.500787000219901
101448,API:37121337790000,Pennsylvania,Venango,WOIDECK 121Q,,,Orphan,41.495116000000003,-79.535540999999995,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.535540999717298,41.495116000403101
101449,API:37121337800000,Pennsylvania,Venango,WOIDECK 122Q,,,Orphan,41.494841999999998,-79.532985999999994,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.532985999704096,41.494842000358098
101450,API:37121337810000,Pennsylvania,Venango,WOIDECK 123Q,,,Orphan,41.496702999999997,-79.537468000000004,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.537468000447802,41.496702999843599
101451,API:37121337820000,Pennsylvania,Venango,WOIDECK 124Q,,,Orphan,41.496214000000002,-79.534045000000006,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.534044999976700,41.496213999776302
101452,API:37121337830000,Pennsylvania,Venango,WOIDECK 125Q,,,Orphan,41.497449000000003,-79.535359999999997,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.535360000363696,41.497449000071398
101453,API:37121337840000,Pennsylvania,Venango,WOIDECK 1260,,,Orphan,41.497312999999998,-79.532439999999994,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.532439999706199,41.497313000094898
101454,API:37121337850000,Pennsylvania,Venango,WOIDECK 127Q,,,Orphan,41.498272000000000,-79.537186000000005,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.537186000033799,41.498272000252697
